AK,38
AL,117
AR,64
AZ,8
CA,85
CO,87
CT,101
DE,22
FL,110
GA,132
HI,24
IA,392
ID,32
IL,447
IN,325
KS,229
KY,107
LA,109
MA,197
MD,89
ME,112
MI,255
MN,356
MO,217
MS,40
MT,55
NC,155
ND,100
NE,182
NH,84
NJ,251
NM,14
NV,17
NY,448
OH,377
OK,128
OR,45
PA,471
PR,2
RI,32
SC,68
SD,102
TN,115
TX,315
UT,48
VA,146
VT,89
WA,68
WI,338
WV,65
WY,51
