,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Employment Labor Force,Poverty Rate,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Employment_PCT,Recommended,Another_Store_Present
1873,02538,3245.0,35.6,48402.0,24790.0,483.0,1640.0,14.884437596302003,,,,,,,,,,,,,,50.53929121725732,Y,0
1879,02554,9843.0,39.9,85835.0,47658.0,1015.0,5983.0,10.311896779437163,,,,,,,,,,,,,,60.78431372549019,Y,0
1887,02564,381.0,41.5,59412.0,38888.0,33.0,304.0,8.661417322834646,,,,,,,,,,,,,,79.79002624671917,Y,0
1888,02568,3995.0,41.4,48935.0,30955.0,642.0,2196.0,16.07008760951189,,,,,,,,,,,,,,54.968710888610765,Y,0
1891,02576,4888.0,41.8,79760.0,30900.0,139.0,2985.0,2.8436988543371524,,,,,,,,,,,,,,61.06792144026186,Y,0
1905,02644,4469.0,34.9,90540.0,28462.0,140.0,2752.0,3.132691877377489,,,,,,,,,,,,,,61.57977176102036,Y,0
1930,02702,4567.0,39.9,89833.0,31246.0,320.0,2572.0,7.006787825706152,,,,,,,,,,,,,,56.317057149113204,Y,0
1931,02703,43677.0,39.4,67039.0,30978.0,3871.0,24824.0,8.862788195159924,,,,,,,,,,,,,,56.83540536208989,Y,0
1933,02715,3195.0,39.4,86823.0,31251.0,189.0,1714.0,5.915492957746479,,,,,,,,,,,,,,53.64632237871675,Y,0
1934,02717,4356.0,42.8,81150.0,32987.0,155.0,2581.0,3.558310376492195,,,,,,,,,,,,,,59.25160697887971,Y,0
1935,02718,6774.0,40.5,80211.0,29144.0,351.0,3967.0,5.181576616474756,,,,,,,,,,,,,,58.56214939474461,Y,0
1937,02720,30811.0,40.2,41910.0,25090.0,5204.0,16429.0,16.890071727629742,,,,,,,,,,,,,,53.32186556749213,Y,0
1942,02726,15524.0,43.6,74141.0,32263.0,1039.0,8039.0,6.6928626642617886,,,,,,,,,,,,,,51.78433393455295,Y,0
1946,02743,10321.0,42.7,66276.0,31463.0,383.0,5896.0,3.710880728611569,,,,,,,,,,,,,,57.1262474566418,Y,0
1948,02745,24830.0,39.7,47536.0,26093.0,2603.0,13608.0,10.483286347160693,,,,,,,,,,,,,,54.80467176802255,Y,0
1950,02747,22092.0,36.8,71073.0,25441.0,1006.0,11871.0,4.553684591707405,,,,,,,,,,,,,,53.7343834872352,Y,0
1952,02760,27081.0,38.2,78087.0,34793.0,1178.0,15624.0,4.3499132232930835,,,,,,,,,,,,,,57.693585908939845,Y,0
1953,02762,8429.0,40.2,77109.0,39346.0,465.0,5329.0,5.516668643967256,,,,,,,,,,,,,,63.222209040218296,Y,0
1955,02764,3926.0,43.2,79615.0,37724.0,108.0,2200.0,2.7508914926133468,,,,,,,,,,,,,,56.03667855323484,Y,0
1956,02766,19209.0,39.5,81069.0,32414.0,877.0,10740.0,4.565568223228695,,,,,,,,,,,,,,55.9112915820709,Y,0
1957,02767,13450.0,40.9,80761.0,34853.0,890.0,7281.0,6.617100371747212,,,,,,,,,,,,,,54.13382899628253,Y,0
1958,02769,11664.0,43.3,82500.0,36959.0,391.0,7104.0,3.3521947873799727,,,,,,,,,,,,,,60.90534979423868,Y,0
1960,02771,13932.0,43.6,70966.0,34580.0,615.0,7888.0,4.414298018949181,,,,,,,,,,,,,,56.61785816824577,Y,0
1962,02779,6452.0,40.1,90741.0,33189.0,383.0,3729.0,5.936143831370118,,,,,,,,,,,,,,57.79603223806571,Y,0
1963,02780,49151.0,40.7,49732.0,26055.0,6740.0,26901.0,13.712844092693944,,,,,,,,,,,,,,54.73133812129967,Y,0
1966,02802,919.0,37.2,48456.0,42134.0,0.0,575.0,0.0,,,,,,,,,,,,,,62.56800870511425,Y,0
1970,02808,2202.0,36.0,73382.0,30863.0,231.0,1428.0,10.490463215258856,,,,,,,,,,,,,,64.85013623978202,Y,0
1971,02809,22531.0,42.3,62358.0,31526.0,1710.0,12413.0,7.589543295903422,,,,,,,,,,,,,,55.09298300119835,Y,0
1976,02816,32800.0,43.0,64581.0,29936.0,2710.0,18584.0,8.262195121951219,,,,,,,,,,,,,,56.65853658536585,Y,0
1977,02817,6102.0,41.3,78438.0,36160.0,386.0,3426.0,6.325794821370042,,,,,,,,,,,,,,56.14552605703048,Y,0
1979,02822,6460.0,44.2,82189.0,36185.0,600.0,3825.0,9.287925696594428,,,,,,,,,,,,,,59.21052631578947,Y,0
1984,02830,6356.0,43.7,66658.0,34376.0,305.0,3875.0,4.798615481434864,,,,,,,,,,,,,,60.966016362492134,Y,0
1986,02832,5263.0,43.9,57318.0,29245.0,221.0,2914.0,4.199125973779213,,,,,,,,,,,,,,55.36766102983089,Y,0
1989,02836,103.0,30.8,68500.0,35931.0,0.0,76.0,0.0,,,,,,,,,,,,,,73.7864077669903,Y,0
1991,02838,3615.0,37.9,47323.0,25803.0,429.0,1886.0,11.867219917012449,,,,,,,,,,,,,,52.171507607192254,Y,0
1992,02839,1617.0,42.1,73750.0,31063.0,149.0,1028.0,9.214594928880643,,,,,,,,,,,,,,63.57452071737786,Y,0
1993,02840,23306.0,38.7,60751.0,38498.0,2334.0,13736.0,10.014588517978202,,,,,,,,,,,,,,58.937612631940276,Y,0
1995,02842,16116.0,41.8,69495.0,34094.0,1521.0,8519.0,9.43782576321668,,,,,,,,,,,,,,52.860511293124844,Y,0
1996,02852,22567.0,42.8,77049.0,39199.0,1727.0,12649.0,7.652767315106129,,,,,,,,,,,,,,56.05087074046174,Y,0
1999,02859,6932.0,43.4,58828.0,28461.0,675.0,3573.0,9.737449509521062,,,,,,,,,,,,,,51.54356607039816,Y,0
2001,02861,27431.0,39.9,54184.0,25198.0,2478.0,15517.0,9.033575152200065,,,,,,,,,,,,,,56.567387262586124,Y,0
2003,02864,33429.0,42.8,72416.0,35306.0,1807.0,18622.0,5.4054862544497295,,,,,,,,,,,,,,55.70612342576805,Y,0
2004,02865,16881.0,43.0,78429.0,40867.0,686.0,9734.0,4.063740299745276,,,,,,,,,,,,,,57.66246075469463,Y,0
2007,02873,181.0,38.4,72273.0,45086.0,20.0,123.0,11.049723756906078,,,,,,,,,,,,,,67.95580110497238,Y,0
2014,02882,13966.0,42.2,64852.0,41702.0,2460.0,8002.0,17.614205928683948,,,,,,,,,,,,,,57.29629099241014,Y,0
2015,02885,10597.0,42.4,54295.0,30687.0,1011.0,6015.0,9.540435972445032,,,,,,,,,,,,,,56.76134755119374,Y,0
2017,02888,19551.0,43.6,57659.0,31704.0,1321.0,11333.0,6.756687637461,,,,,,,,,,,,,,57.96634443250985,Y,0
2018,02889,28571.0,42.0,64006.0,30696.0,2249.0,16872.0,7.871618074271114,,,,,,,,,,,,,,59.0528857932869,Y,0
2021,02893,29416.0,38.9,51397.0,27891.0,4379.0,16781.0,14.88645635028556,,,,,,,,,,,,,,57.04718520533043,Y,0
2022,02894,563.0,43.1,83417.0,36384.0,48.0,365.0,8.52575488454707,,,,,,,,,,,,,,64.83126110124334,Y,0
2027,02904,28793.0,40.2,41649.0,25191.0,5516.0,14979.0,19.157434098565624,,,,,,,,,,,,,,52.02306116069878,Y,0
2033,02910,20135.0,39.0,55893.0,27052.0,2248.0,11627.0,11.16463868885026,,,,,,,,,,,,,,57.745219766575616,Y,0
2034,02911,15811.0,40.8,51288.0,27389.0,1769.0,8887.0,11.188413130099297,,,,,,,,,,,,,,56.207703497564985,Y,0
2036,02914,21978.0,39.8,40642.0,22148.0,3370.0,11146.0,15.333515333515333,,,,,,,,,,,,,,50.714350714350715,Y,0
2038,02916,8700.0,42.9,63480.0,35834.0,459.0,5098.0,5.275862068965517,,,,,,,,,,,,,,58.59770114942529,Y,0
2039,02917,14051.0,34.6,72983.0,29501.0,363.0,7466.0,2.583446018077005,,,,,,,,,,,,,,53.135008184470855,Y,0
2041,02920,38679.0,42.8,53675.0,25788.0,3871.0,18041.0,10.008014684971172,,,,,,,,,,,,,,46.642881149978024,Y,0
2048,03037,4248.0,42.4,89186.0,36186.0,145.0,2550.0,3.413370998116761,,,,,,,,,,,,,,60.02824858757062,Y,0
2049,03038,33417.0,39.2,64642.0,30354.0,2400.0,20293.0,7.181973247149655,,,,,,,,,,,,,,60.72657629350331,Y,0
2050,03042,6460.0,40.9,74609.0,32453.0,282.0,3557.0,4.365325077399381,,,,,,,,,,,,,,55.06191950464396,Y,0
2052,03044,4290.0,43.1,82375.0,36421.0,108.0,2489.0,2.5174825174825175,,,,,,,,,,,,,,58.018648018648015,Y,0
2053,03045,13742.0,42.6,69387.0,33628.0,516.0,7591.0,3.7549119487701934,,,,,,,,,,,,,,55.239412021539806,Y,0
2055,03047,1496.0,43.7,68750.0,31066.0,93.0,820.0,6.216577540106952,,,,,,,,,,,,,,54.81283422459893,Y,0
2056,03048,3513.0,43.6,62321.0,28864.0,389.0,2023.0,11.07315684600057,,,,,,,,,,,,,,57.58610873896954,Y,0
2058,03051,24541.0,40.7,88600.0,36109.0,1102.0,14636.0,4.490444562161281,,,,,,,,,,,,,,59.63897151705309,Y,0
2061,03054,25538.0,42.8,88555.0,38711.0,1055.0,15732.0,4.131098754796773,,,,,,,,,,,,,,61.602318114182786,Y,0
2062,03055,15067.0,40.0,64162.0,31909.0,1007.0,8921.0,6.683480453972257,,,,,,,,,,,,,,59.20886706046326,Y,0
